id,filename,participant_id,date,status,agc_status,distance,angle,session_id,mic_channel,low_power,high_power,hlbr,coe1[0],coe1[1],coe3[0],coe3[1],coe3[2],coe3[3],ratio_max_to_10ms_ave_peaks,ratio_max_to_9th_ave_peaks,ac_std,ac_auc,diff_std,diff_auc,srmr,gp_max_val_std,gp_max_val_range,gp_max_val_min,gp_max_val_max,gp_max_val_mean,gp_max_ix_std,gp_max_ix_range,gp_max_ix_min,gp_max_ix_max,gp_max_ix_mean,gp_auc_std,gp_auc_range,gp_auc_min,gp_auc_max,gp_auc_mean,tdoa_std,tdoa_range,tdoa_min,tdoa_max,tdoa_mean
200,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,0,trial1,0,0.0019069557393357525,5.447384658547431e-06,0.002856586834283271,-4.2396596520989845e-07,0.007156936344163984,-9.32190471735987e-15,4.0460465686607483e-10,-5.276760714052166e-06,0.01981911893577275,0.16607466,0.7346469,1.7758238,187138.03,0.0012645106,87.29709,1.1380572656117252,0.0021757645929362714,0.006335005010900473,0.016616581390754767,0.02295158640165524,0.019417563921916094,45.495115732961445,98.0,-97.0,1.0,-63.833333333333336,7.913877404651611e-07,2.28570701562382e-06,6.107483489669972e-06,8.393190505293792e-06,7.112928957530421e-06,5.923843194396021e-05,0.00012760416666666665,-0.00012630208333333333,1.3020833333333333e-06,-8.311631944444446e-05
201,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,0,trial2,0,0.0020254839249101873,1.0826862853466414e-05,0.005345321540355593,-4.442458915447919e-07,0.00754002821245139,-9.256175220759199e-15,4.033505466981678e-10,-5.301496281491799e-06,0.020266403032602808,0.31074435,0.66207343,1.8867517,203473.77,0.0015264504,99.64215,1.5990245696980723,0.002248956629033021,0.006503635024198436,0.017876819090009533,0.02438045411420797,0.020533787770689826,45.495115732961445,98.0,-97.0,1.0,-63.833333333333336,8.1382123082019e-07,2.3369487078619096e-06,6.543392182392079e-06,8.880340890253989e-06,7.487492598885305e-06,5.923843194396021e-05,0.00012760416666666665,-0.00012630208333333333,1.3020833333333333e-06,-8.311631944444446e-05
202,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,0,trial3,0,0.0023708511261229886,1.3651354236699903e-05,0.005757997238326695,-4.7542222103514124e-07,0.008058743986590804,-1.0146537447121227e-14,4.4097695482166145e-10,-5.771539244559293e-06,0.02189674506636224,0.14790593,0.6681832,2.2702858,225358.64,0.001600727,100.75821,1.5720504903743149,0.0019942678426582297,0.005978838752784748,0.01602772251763961,0.022006561270424357,0.018491593697562935,45.25851669391446,97.0,-97.0,0.0,-64.0,7.305042985925882e-07,2.183628397709397e-06,5.8895301496905e-06,8.073158547399897e-06,6.779055700325257e-06,5.893036027853445e-05,0.00012630208333333333,-0.00012630208333333333,0.0,-8.333333333333333e-05
203,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,0,trial4,0,0.00167995456528713,1.6778759389257867e-05,0.009987626889415381,-4.077437869392602e-07,0.006959136675911297,-8.333313985011451e-15,3.628731528931793e-10,-4.774367169892633e-06,0.018391470194611938,-0.025944006,0.69025606,1.3632604,131992.34,0.0015622824,94.10393,2.069771163436683,0.0020145427781734487,0.006007855858049721,0.015517082237561666,0.021524938095611387,0.018240629511026268,45.495115732961445,98.0,-97.0,1.0,-63.833333333333336,7.291698003303404e-07,2.1562488025629046e-06,5.696239987936464e-06,7.852488790499368e-06,6.672413833322465e-06,5.923843194396021e-05,0.00012760416666666665,-0.00012630208333333333,1.3020833333333333e-06,-8.311631944444446e-05
204,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,0,trial5,0,0.0021383130698216382,2.1784201983803096e-05,0.010187564342774263,-4.590111458592352e-07,0.007840056303299647,-9.494151325019536e-15,4.126331160540472e-10,-5.414834245936005e-06,0.020789226117326743,0.017990846,0.8477017,1.992933,195609.94,0.0017307681,107.9144,1.7070818770862848,0.0020391945342559835,0.006225903686078026,0.01658576248966164,0.022811666175739667,0.019257259830479417,45.495115732961445,98.0,-97.0,1.0,-63.833333333333336,7.381733702190836e-07,2.240848681038841e-06,6.086543781172948e-06,8.327392462211789e-06,7.043389592771107e-06,5.923843194396021e-05,0.00012760416666666665,-0.00012630208333333333,1.3020833333333333e-06,-8.311631944444446e-05
205,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,45,trial1,0,0.002198208314393781,2.7058132411773387e-05,0.012309175720334513,-4.740826233576477e-07,0.0081678416005102,-8.81946490741297e-15,3.868484754305582e-10,-5.163319953698862e-06,0.020536470870770845,0.2569398,0.80853266,1.6254114,150367.4,0.0020764424,115.28403,2.958274928842863,0.0024135229482755123,0.007285634355360282,0.021245464537648022,0.028531098893008304,0.023836492079504886,45.37773560777234,98.0,-97.0,1.0,-64.16666666666667,8.699167038393232e-07,2.619603672343062e-06,7.755142766563299e-06,1.0374746438906361e-05,8.680344353892003e-06,5.908559323928689e-05,0.00012760416666666665,-0.00012630208333333333,1.3020833333333333e-06,-8.355034722222222e-05
206,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,45,trial2,0,0.0037433459667585486,9.348307268153745e-05,0.024973131928408596,-6.106835327934218e-07,0.010621985583785756,-1.1441338804795687e-14,4.985940297346693e-10,-6.615147264754898e-06,0.026354865716468053,0.16293664,0.83360726,3.1063998,289706.62,0.0033603627,157.98952,3.534993529280831,0.0025655511137991443,0.00808496900121819,0.024170711590640943,0.03225568059185913,0.027416481487550427,45.610671265980436,98.0,-97.0,1.0,-64.0,9.220770383227225e-07,2.8921955735918083e-06,8.809869180761727e-06,1.1702064754353535e-05,9.967062773774002e-06,5.938889487757869e-05,0.00012760416666666665,-0.00012630208333333333,1.3020833333333333e-06,-8.333333333333333e-05
207,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,45,trial3,0,0.0030157373496602588,1.7256302114634263e-05,0.005722083893207176,-5.42939816119555e-07,0.00932717124905368,-1.0789932547743303e-14,4.705359813131542e-10,-6.213503948158179e-06,0.02419590266443434,0.39759076,0.86464125,2.4491408,225001.27,0.0022069633,123.689285,3.15688394132948,0.002464798643019634,0.007480005195972271,0.021733206186056023,0.029213211382028294,0.024595914230741825,45.610671265980436,98.0,-97.0,1.0,-64.0,8.81662265066192e-07,2.669558729430121e-06,7.934014791540072e-06,1.0603573520970193e-05,8.952624769943308e-06,5.938889487757869e-05,0.00012760416666666665,-0.00012630208333333333,1.3020833333333333e-06,-8.333333333333333e-05
208,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,45,trial4,0,0.0027595791625749065,1.5507433772653517e-05,0.0056194922700401355,-5.082275356613432e-07,0.008710604051147097,-1.105459010300875e-14,4.775855223789982e-10,-6.209226949430159e-06,0.023512847090959396,0.33797762,0.8852767,2.5213811,248659.42,0.001889453,121.31,2.2223769425073527,0.002813147268806711,0.008533353012769685,0.021929988637302354,0.03046334165007204,0.02551522507036985,45.610671265980436,98.0,-97.0,1.0,-64.0,1.0185807852882973e-06,3.0713695912185915e-06,7.994346103875065e-06,1.1065715695093657e-05,9.27324214460389e-06,5.938889487757869e-05,0.00012760416666666665,-0.00012630208333333333,1.3020833333333333e-06,-8.333333333333333e-05
209,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,45,trial5,0,0.002947744405155393,1.3605490568801945e-05,0.004615559797181506,-5.279157862461245e-07,0.009001627336374926,-1.1024953778138769e-14,4.794847829918227e-10,-6.290543174351904e-06,0.024069411811648136,0.09127348,0.8291097,2.329877,235704.97,0.0019114895,118.47713,2.0686255613538447,0.0025493683789485585,0.0076408101955045896,0.017637685743346378,0.025278495938850967,0.020479026890125134,45.374062585970364,97.0,-97.0,0.0,-64.16666666666667,9.26337841714592e-07,2.7672675494360006e-06,6.453155582515111e-06,9.220423131951111e-06,7.476209110911727e-06,5.908081065881558e-05,0.00012630208333333333,-0.00012630208333333333,0.0,-8.355034722222222e-05
210,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,90,trial1,0,0.004552458647922508,0.0001893573875257782,0.041594532135330986,-7.027349819831337e-07,0.012471263960131145,-1.2203999481243955e-14,5.310794126525679e-10,-7.089302922479694e-06,0.029180869687868153,0.25036567,0.85543,3.511094,354753.62,0.004659964,212.30785,4.61051509760065,0.0026300831864999106,0.008001859502760361,0.03168205664948359,0.03968391615224395,0.034928435269295975,45.610671265980436,98.0,-97.0,1.0,-64.0,9.551431520074679e-07,2.868453661139298e-06,1.1494368807091117e-05,1.4362822468230416e-05,1.265136885441885e-05,5.938889487757869e-05,0.00012760416666666665,-0.00012630208333333333,1.3020833333333333e-06,-8.333333333333333e-05
211,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,90,trial2,0,0.009194523585497522,0.00023755788575085992,0.02583688905051686,-9.630290642947195e-07,0.016918255468892654,-1.6258509423776254e-14,7.139069271021207e-10,-9.62591462202768e-06,0.0397924772626112,0.12284808,0.89363366,7.545711,573046.06,0.0059021707,255.93347,5.339621209972632,0.003012975323054688,0.008874891936740126,0.03115778537398812,0.040032677310728244,0.03462747469625133,45.610671265980436,98.0,-97.0,1.0,-64.0,1.0928751343540938e-06,3.184715493470068e-06,1.1328493915313085e-05,1.4513209408783154e-05,1.2564302796453301e-05,5.938889487757869e-05,0.00012760416666666665,-0.00012630208333333333,1.3020833333333333e-06,-8.333333333333333e-05
212,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,90,trial3,0,0.0040514212422820845,0.00011313447581293146,0.027924639045730303,-6.27944814073436e-07,0.011083320977379416,-1.1889960987746355e-14,5.13951583061479e-10,-6.76643181605572e-06,0.027030629242123565,0.18315874,0.92275476,2.9801455,246528.34,0.003861976,182.1981,3.8681929724377935,0.0029368058404022302,0.008694336172296736,0.030530437194340163,0.0392247733666369,0.033807766220218395,45.610671265980436,98.0,-97.0,1.0,-64.0,1.0644550035440845e-06,3.1199578028689845e-06,1.1084111285215356e-05,1.420406908808434e-05,1.2251866170815447e-05,5.938889487757869e-05,0.00012760416666666665,-0.00012630208333333333,1.3020833333333333e-06,-8.333333333333333e-05
213,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,90,trial4,0,0.009231369097653304,0.00014878836650442272,0.016117692287078635,-9.414595064170919e-07,0.016395991083597593,-1.722906077266394e-14,7.530822466565386e-10,-1.0038233372264551e-05,0.04030534104450825,0.22826102,0.79490435,7.8635225,565276.3,0.0049987147,227.87585,6.05867388210359,0.0031682163007744706,0.009142595389659343,0.030552652671099433,0.039695248060758775,0.03402521759951108,45.610671265980436,98.0,-97.0,1.0,-64.0,1.1481478089670053e-06,3.27955319086985e-06,1.1108177564527344e-05,1.4387730755397194e-05,1.2347428786125173e-05,5.938889487757869e-05,0.00012760416666666665,-0.00012630208333333333,1.3020833333333333e-06,-8.333333333333333e-05
214,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,90,trial5,0,0.005880846429659966,0.0001513738134980037,0.025740140523743658,-7.612059234091184e-07,0.013360700453575023,-1.3256150542154825e-14,5.800516059257036e-10,-7.775446972322928e-06,0.031816730374211344,0.19818479,0.8458646,4.7819858,353813.6,0.004560068,195.74211,5.705606891615139,0.0031968929769813394,0.009349102066300095,0.02897333743041934,0.038322439496719436,0.03277455340983609,45.610671265980436,98.0,-97.0,1.0,-64.0,1.1618282315918228e-06,3.358705647017417e-06,1.0540339391088234e-05,1.389904503810565e-05,1.1899087933393166e-05,5.938889487757869e-05,0.00012760416666666665,-0.00012630208333333333,1.3020833333333333e-06,-8.333333333333333e-05
